t,x,y,z,vx,vy,vz,ox,oy,oz,wx,wy,wz
0.038564276,-0.31643477,0.18424314,0.801308,0.74995506,-5.1616893,-2.3619208,7.226915,-0.0032946733,-31.919056,1.3952553,-2.1734164,-0.24961875
0.03973289,-0.31643054,0.18420285,0.801304,0.7499507,-5.161604,-2.3619113,7.226065,-0.0032966589,-31.918516,1.3951604,-2.1727202,-0.24960908
0.040901504,-0.31642625,0.18416256,0.8012997,0.74994636,-5.1615157,-2.361902,7.225205,-0.0032985732,-31.917992,1.3950642,-2.1720226,-0.24959958
0.042070117,-0.31642216,0.18412149,0.801295,0.7499419,-5.1614323,-2.3618925,7.22437,-0.0033005644,-31.917477,1.3949687,-2.1713226,-0.24958983
0.043238733,-0.316418,0.18408075,0.8012915,0.74993753,-5.1613455,-2.3618839,7.2235394,-0.0033025362,-31.916943,1.3948724,-2.1706274,-0.24958007
0.044407345,-0.31641385,0.18404105,0.8012873,0.74993277,-5.1612654,-2.361874,7.2227087,-0.003304387,-31.916447,1.394777,-2.1699367,-0.24957068
0.04557596,-0.31640977,0.18400046,0.80128336,0.74992824,-5.1611853,-2.3618648,7.2218866,-0.0033063088,-31.915924,1.3946807,-2.1692405,-0.24956079
0.046744574,-0.3164058,0.18396196,0.8012789,0.74992406,-5.161101,-2.3618562,7.22106,-0.003308251,-31.915445,1.3945838,-2.168556,-0.24955177
0.04791319,-0.31640166,0.18392271,0.8012753,0.7499192,-5.1610208,-2.361846,7.2202373,-0.0033100722,-31.91494,1.3944879,-2.167868,-0.24954231
0.049081802,-0.3163977,0.18388337,0.80127084,0.7499147,-5.160934,-2.3618371,7.219434,-0.0033119933,-31.914423,1.3943927,-2.16718,-0.249533
0.05025042,-0.31639373,0.18384439,0.8012667,0.7499109,-5.160855,-2.3618288,7.2186255,-0.0033138026,-31.913944,1.394296,-2.1664927,-0.24952373
0.05141903,-0.31638983,0.1838057,0.80126363,0.7499067,-5.160772,-2.3618188,7.217816,-0.0033156653,-31.913452,1.3942009,-2.165811,-0.24951446
0.052587647,-0.31638578,0.18376884,0.8012589,0.7499023,-5.1606884,-2.3618102,7.2170224,-0.0033174853,-31.91295,1.3941026,-2.1651363,-0.24950585
0.05375626,-0.31638196,0.18373063,0.8012556,0.74989796,-5.160609,-2.3618026,7.2162333,-0.0033192239,-31.912474,1.3940067,-2.164456,-0.2494967
0.054924875,-0.316378,0.18369213,0.80125123,0.7498932,-5.1605334,-2.361793,7.2154465,-0.0033210176,-31.911995,1.3939103,-2.1637733,-0.2494871
0.05609349,-0.31637412,0.18365476,0.80124754,0.7498894,-5.160453,-2.361784,7.2146597,-0.0033227783,-31.91153,1.3938144,-2.1631002,-0.24947843
0.057262104,-0.31637025,0.18361881,0.8012441,0.74988526,-5.160377,-2.361776,7.213874,-0.003324648,-31.911062,1.3937181,-2.1624308,-0.24946952
0.05843072,-0.31636637,0.18358064,0.80123985,0.749881,-5.1603017,-2.3617675,7.2131042,-0.0033263734,-31.910593,1.3936217,-2.1617515,-0.24946062
0.059599333,-0.31636268,0.18354326,0.8012367,0.749877,-5.160221,-2.361759,7.2123322,-0.0033281432,-31.910124,1.3935254,-2.1610801,-0.24945165
0.06076795,-0.3163588,0.18350768,0.80123293,0.7498727,-5.1601453,-2.361751,7.211562,-0.0033298747,-31.90966,1.3934282,-2.1604152,-0.24944295
0.06193656,-0.31635508,0.18347025,0.801229,0.7498683,-5.160072,-2.361743,7.2108,-0.003331592,-31.909197,1.3933312,-2.1597412,-0.24943408
0.06310517,-0.31635135,0.1834341,0.80122477,0.74986464,-5.1599975,-2.3617342,7.2100463,-0.0033332992,-31.908754,1.3932344,-2.159074,-0.24942511
0.06427379,-0.3163477,0.1833987,0.80122113,0.7498601,-5.159911,-2.361726,7.209294,-0.0033349711,-31.90832,1.3931377,-2.1584105,-0.2494167
0.065442406,-0.31634396,0.18336162,0.8012176,0.749856,-5.1598363,-2.3617182,7.208539,-0.0033366703,-31.907862,1.39304,-2.1577423,-0.24940786
0.06661102,-0.31634033,0.18332633,0.80121374,0.749852,-5.159768,-2.3617096,7.2077956,-0.0033384126,-31.907415,1.3929439,-2.1570797,-0.24939944
0.06777963,-0.3163366,0.18328956,0.80121005,0.74984807,-5.1596885,-2.3617017,7.2070622,-0.0033400243,-31.906979,1.3928477,-2.1564121,-0.24939026
0.06894825,-0.31633306,0.18325639,0.801207,0.7498444,-5.1596193,-2.361694,7.2063265,-0.0033416802,-31.906536,1.3927485,-2.1557627,-0.24938238
0.07011686,-0.31632948,0.18322027,0.8012037,0.7498404,-5.159544,-2.361686,7.205593,-0.0033433773,-31.906105,1.3926526,-2.1551003,-0.24937347
0.07128548,-0.31632593,0.18318433,0.8011998,0.7498364,-5.1594653,-2.3616776,7.204861,-0.003344997,-31.90569,1.3925556,-2.1544363,-0.24936476
0.07245409,-0.31632233,0.18315136,0.801196,0.7498323,-5.159401,-2.36167,7.2041454,-0.0033465622,-31.90527,1.3924571,-2.153787,-0.24935678
0.0736227,-0.31631884,0.18311763,0.8011925,0.7498282,-5.1593256,-2.3616621,7.2034307,-0.0033481685,-31.904842,1.392359,-2.1531372,-0.24934891
0.07479132,-0.31631526,0.18308213,0.8011888,0.7498238,-5.1592517,-2.3616545,7.202714,-0.003349787,-31.90441,1.3922633,-2.1524785,-0.24934003
0.075959936,-0.31631178,0.18305144,0.8011854,0.7498203,-5.159181,-2.3616462,7.202002,-0.0033513522,-31.903984,1.3921658,-2.1518435,-0.24933262
0.07712855,-0.31630832,0.18301472,0.80118185,0.74981683,-5.15911,-2.3616393,7.2012978,-0.0033529354,-31.903568,1.3920683,-2.1511786,-0.24932384
0.07829716,-0.3163049,0.1829826,0.80117875,0.7498126,-5.159042,-2.3616319,7.200598,-0.0033544856,-31.903154,1.3919706,-2.1505382,-0.24931604
0.07946578,-0.31630152,0.18294975,0.80117565,0.7498091,-5.1589713,-2.3616235,7.1999063,-0.0033560183,-31.90274,1.3918735,-2.1498961,-0.24930789
0.08063439,-0.316298,0.18291438,0.8011716,0.7498048,-5.158905,-2.3616164,7.199211,-0.0033576125,-31.902342,1.3917757,-2.149238,-0.24929903
0.08180301,-0.31629467,0.18288535,0.80116874,0.7498012,-5.1588373,-2.3616083,7.198528,-0.0033590484,-31.901945,1.391678,-2.148613,-0.24929221
